indicator,date,rate,symbol
low,2022-01-04 14:40:00,32.25,TTM
close,2022-01-04 14:40:00,32.26,TTM
open,2022-01-04 14:39:00,32.2753,TTM
high,2022-01-04 14:39:00,32.28,TTM
low,2022-01-04 14:39:00,32.27,TTM
close,2022-01-04 14:39:00,32.27,TTM
open,2022-01-04 14:38:00,32.26,TTM
high,2022-01-04 14:38:00,32.27,TTM
low,2022-01-04 14:38:00,32.26,TTM
close,2022-01-04 14:38:00,32.27,TTM
open,2022-01-04 14:37:00,32.25,TTM
high,2022-01-04 14:37:00,32.25,TTM
low,2022-01-04 14:37:00,32.25,TTM
close,2022-01-04 14:37:00,32.25,TTM
open,2022-01-04 14:36:00,32.26,TTM
high,2022-01-04 14:36:00,32.26,TTM
low,2022-01-04 14:36:00,32.26,TTM
close,2022-01-04 14:36:00,32.26,TTM
open,2022-01-04 14:35:00,32.27,TTM
high,2022-01-04 14:35:00,32.27,TTM
low,2022-01-04 14:35:00,32.26,TTM
close,2022-01-04 14:35:00,32.26,TTM
open,2022-01-04 14:33:00,32.28,TTM
high,2022-01-04 14:33:00,32.29,TTM
low,2022-01-04 14:33:00,32.28,TTM
close,2022-01-04 14:33:00,32.29,TTM
open,2022-01-04 14:32:00,32.27,TTM
high,2022-01-04 14:32:00,32.27,TTM
low,2022-01-04 14:32:00,32.27,TTM
close,2022-01-04 14:32:00,32.27,TTM
open,2022-01-04 14:31:00,32.26,TTM
high,2022-01-04 14:31:00,32.2883,TTM
low,2022-01-04 14:31:00,32.26,TTM
close,2022-01-04 14:31:00,32.27,TTM
open,2022-01-04 14:30:00,32.26,TTM
high,2022-01-04 14:30:00,32.27,TTM
low,2022-01-04 14:30:00,32.25,TTM
close,2022-01-04 14:30:00,32.27,TTM
open,2022-01-04 14:29:00,32.26,TTM
high,2022-01-04 14:29:00,32.26,TTM
low,2022-01-04 14:29:00,32.25,TTM
close,2022-01-04 14:29:00,32.26,TTM
open,2022-01-04 14:28:00,32.26,TTM
high,2022-01-04 14:28:00,32.26,TTM
low,2022-01-04 14:28:00,32.26,TTM
close,2022-01-04 14:28:00,32.26,TTM
open,2022-01-04 14:27:00,32.26,TTM
high,2022-01-04 14:27:00,32.26,TTM
low,2022-01-04 14:27:00,32.26,TTM
close,2022-01-04 14:27:00,32.26,TTM
open,2022-01-04 14:25:00,32.27,TTM
high,2022-01-04 14:25:00,32.3,TTM
low,2022-01-04 14:25:00,32.26,TTM
close,2022-01-04 14:25:00,32.3,TTM
open,2022-01-04 14:23:00,32.27,TTM
high,2022-01-04 14:23:00,32.28,TTM
low,2022-01-04 14:23:00,32.27,TTM
close,2022-01-04 14:23:00,32.28,TTM
open,2022-01-04 14:22:00,32.29,TTM
high,2022-01-04 14:22:00,32.3,TTM
low,2022-01-04 14:22:00,32.29,TTM
close,2022-01-04 14:22:00,32.29,TTM
open,2022-01-04 14:21:00,32.29,TTM
high,2022-01-04 14:21:00,32.29,TTM
low,2022-01-04 14:21:00,32.29,TTM
close,2022-01-04 14:21:00,32.29,TTM
open,2022-01-04 14:20:00,32.28,TTM
high,2022-01-04 14:20:00,32.28,TTM
low,2022-01-04 14:20:00,32.26,TTM
close,2022-01-04 14:20:00,32.28,TTM
open,2022-01-04 14:19:00,32.28,TTM
high,2022-01-04 14:19:00,32.28,TTM
